ID,Name,Date,Year,Month,Day,Time,Status,Latitude,Longitude,Maximum.Wind,Minimum.Pressure,Decade
AL051878,UNNAMED,1878-09-05,1878,September,5,1800,TS,21.5,-77.1,60,NA,Other
AL051878,UNNAMED,1878-09-05,1878,September,5,600,TS,20.5,-75.6,60,NA,Other
AL051878,UNNAMED,1878-09-04,1878,September,4,0,Cat. 1,17.5,-71.1,80,NA,Other
AL051878,UNNAMED,1878-09-04,1878,September,4,1800,Cat. 1,19.5,-73.9,70,NA,Other
AL041878,UNNAMED,1878-08-26,1878,August,26,1800,Cat. 1,29.5,-72.1,70,NA,Other
AL071878,UNNAMED,1878-10-02,1878,October,2,1200,Cat. 3,28.5,-73,110,NA,Other
AL071878,UNNAMED,1878-09-27,1878,September,27,1800,TS,20.5,-72.7,60,NA,Other
AL021878,UNNAMED,1878-08-14,1878,August,14,0,TS,19.5,-83.3,60,NA,Other
AL021878,UNNAMED,1878-08-12,1878,August,12,600,TS,14.5,-76.1,50,NA,Other
AL021878,UNNAMED,1878-08-09,1878,August,9,1200,TS,14.5,-63.3,40,NA,Other
AL021878,UNNAMED,1878-08-09,1878,August,9,1800,TS,14.5,-64.1,40,NA,Other
AL041879,UNNAMED,1879-08-29,1879,August,29,0,TS,23.5,-88.5,50,NA,Other
AL071879,UNNAMED,1879-10-26,1879,October,26,1800,TS,24.5,-88,60,NA,Other
AL071879,UNNAMED,1879-10-26,1879,October,26,600,TS,23.5,-87.9,50,NA,Other
AL061879,UNNAMED,1879-10-12,1879,October,12,600,TS,17.5,-76.8,50,NA,Other
AL051879,UNNAMED,1879-10-03,1879,October,3,0,TS,14.5,-77.6,40,NA,Other
AL061879,UNNAMED,1879-10-14,1879,October,14,600,TS,22.5,-83.5,50,NA,Other
AL021879,UNNAMED,1879-08-17,1879,August,17,600,Cat. 1,26.5,-76.9,80,NA,Other
AL031879,UNNAMED,1879-08-20,1879,August,20,0,Cat. 1,18.5,-85.4,70,NA,Other
AL031879,UNNAMED,1879-08-19,1879,August,19,1200,TS,17.5,-83,60,NA,Other
AL081879,UNNAMED,1879-11-18,1879,November,18,600,TS,22.5,-73.5,60,NA,Other
AL081879,UNNAMED,1879-11-18,1879,November,18,1200,TS,23.5,-73.5,60,NA,Other
AL021879,UNNAMED,1879-08-16,1879,August,16,600,TS,22.5,-72.9,60,NA,Other
AL021879,UNNAMED,1879-08-15,1879,August,15,1200,TS,20.5,-70,50,NA,Other
AL021879,UNNAMED,1879-08-14,1879,August,14,1800,TS,19.5,-66.8,40,NA,Other
AL101880,UNNAMED,1880-10-14,1880,October,14,0,Cat. 1,29.5,-66.1,80,NA,Other
AL091880,UNNAMED,1880-10-06,1880,October,6,0,TS,20.5,-87.1,50,NA,Other
AL041880,UNNAMED,1880-08-30,1880,August,30,600,TS,28.5,-82.1,60,NA,Other
AL051880,UNNAMED,1880-08-29,1880,August,29,1200,Cat. 1,30.5,-61.6,70,NA,Other
AL031880,UNNAMED,1880-08-19,1880,August,19,1800,TS,21.5,-77.6,50,NA,Other
AL031880,UNNAMED,1880-08-20,1880,August,20,1200,TS,25.5,-76.3,40,NA,Other
AL041880,UNNAMED,1880-08-28,1880,August,28,0,Cat. 2,27.5,-75.4,90,NA,Other
AL101880,UNNAMED,1880-10-12,1880,October,12,0,Cat. 1,26.5,-66.1,80,NA,Other
AL101880,UNNAMED,1880-10-10,1880,October,10,1200,Cat. 1,24.5,-65.5,70,NA,Other
AL031880,UNNAMED,1880-08-18,1880,August,18,1800,Cat. 1,16.5,-75.3,70,987,Other
AL031880,UNNAMED,1880-08-17,1880,August,17,1200,TS,14.5,-70.6,60,NA,Other
AL041880,UNNAMED,1880-08-25,1880,August,25,0,TS,25.5,-61.8,60,NA,Other
AL081880,UNNAMED,1880-10-01,1880,October,1,600,Cat. 3,26.5,-61.5,110,NA,Other
AL021880,UNNAMED,1880-08-08,1880,August,8,0,Cat. 2,18.5,-82.1,90,NA,Other
AL021880,UNNAMED,1880-08-07,1880,August,7,600,Cat. 1,17.5,-78.6,80,NA,Other
AL021880,UNNAMED,1880-08-05,1880,August,5,1200,TS,16.5,-69.8,50,NA,Other
AL011881,UNNAMED,1881-08-03,1881,August,3,0,TS,28.5,-87.8,50,NA,Other
AL041881,UNNAMED,1881-08-18,1881,August,18,1200,TS,29.5,-74,50,NA,Other
AL011881,UNNAMED,1881-08-01,1881,August,1,600,TS,23.5,-85.8,40,NA,Other
AL041881,UNNAMED,1881-08-17,1881,August,17,0,TS,23.5,-83.1,40,NA,Other
AL041881,UNNAMED,1881-08-17,1881,August,17,1200,TS,24.5,-80.5,40,NA,Other
AL051881,UNNAMED,1881-08-25,1881,August,25,1200,Cat. 1,25.5,-74.6,80,NA,Other
AL061882,UNNAMED,1882-10-11,1882,October,11,400,Cat. 1,29.5,-83.3,70,NA,Other
AL061882,UNNAMED,1882-10-11,1882,October,11,1200,TS,30.5,-82.6,50,NA,Other
AL061882,UNNAMED,1882-10-08,1882,October,8,1200,Cat. 3,19.5,-83.3,100,NA,Other
AL061882,UNNAMED,1882-10-10,1882,October,10,600,Cat. 1,26.5,-84.1,70,NA,Other
AL061882,UNNAMED,1882-10-10,1882,October,10,1200,Cat. 1,27.5,-84,70,NA,Other
AL061882,UNNAMED,1882-10-09,1882,October,9,1200,Cat. 2,23.5,-84,90,NA,Other
AL041882,UNNAMED,1882-09-21,1882,September,21,0,TS,28.5,-76.8,40,NA,Other
AL021882,UNNAMED,1882-09-04,1882,September,4,1200,Cat. 2,22.5,-76.1,90,NA,Other
AL021882,UNNAMED,1882-09-04,1882,September,4,600,Cat. 1,22.5,-75.1,80,NA,Other
AL021882,UNNAMED,1882-09-04,1882,September,4,0,Cat. 1,22.5,-74.3,80,NA,Other
AL021882,UNNAMED,1882-09-02,1882,September,2,0,TS,19.5,-67.5,50,NA,Other
AL031883,UNNAMED,1883-09-10,1883,September,10,600,Cat. 2,29.5,-78.3,90,NA,Other
AL041883,UNNAMED,1883-10-22,1883,October,22,0,TS,27.5,-77.6,40,NA,Other
AL031883,UNNAMED,1883-09-09,1883,September,9,0,Cat. 2,25.5,-77.5,90,NA,Other
AL031883,UNNAMED,1883-09-08,1883,September,8,600,Cat. 1,23.5,-76.6,80,NA,Other
AL031883,UNNAMED,1883-09-07,1883,September,7,1800,Cat. 1,22.5,-76,70,NA,Other
AL021883,UNNAMED,1883-08-24,1883,August,24,1200,Cat. 1,23.5,-60.9,70,NA,Other
AL041884,UNNAMED,1884-10-13,1884,October,13,1200,Cat. 1,25.5,-75,80,NA,Other
AL041884,UNNAMED,1884-10-12,1884,October,12,600,Cat. 1,23.5,-75,70,NA,Other
AL041884,UNNAMED,1884-10-11,1884,October,11,600,TS,22.5,-75,60,NA,Other
AL041884,UNNAMED,1884-10-08,1884,October,8,600,TS,18.5,-75.8,60,NA,Other
AL041884,UNNAMED,1884-10-07,1884,October,7,600,TS,16.5,-76.6,40,NA,Other
AL041884,UNNAMED,1884-10-07,1884,October,7,1800,TS,17.5,-76.1,50,NA,Other
AL031884,UNNAMED,1884-09-14,1884,September,14,600,TS,30.5,-74.4,60,NA,Other
AL031884,UNNAMED,1884-09-13,1884,September,13,600,TS,30.5,-78.5,50,NA,Other
AL031884,UNNAMED,1884-09-13,1884,September,13,1800,TS,30.5,-76.4,50,NA,Other
AL061885,UNNAMED,1885-09-29,1885,September,29,1200,TD,30.5,-85.4,30,NA,Other
AL061885,UNNAMED,1885-09-27,1885,September,27,1200,TS,30.5,-88.6,50,NA,Other
AL081885,UNNAMED,1885-10-11,1885,October,11,600,TS,26.5,-83.9,50,NA,Other
AL021885,UNNAMED,1885-08-23,1885,August,23,600,TS,23.5,-78,60,NA,Other
AL021885,UNNAMED,1885-08-21,1885,August,21,1800,TS,21.5,-71.4,40,NA,Other
AL011885,UNNAMED,1885-08-07,1885,August,7,1800,TS,26.5,-59.6,50,NA,Other
AL111886,UNNAMED,1886-10-10,1886,October,10,600,TS,29.5,-60.3,35,NA,Other
AL091886,UNNAMED,1886-09-29,1886,September,29,1800,Cat. 2,30.5,-69.5,85,NA,Other
AL021886,UNNAMED,1886-06-19,1886,June,19,0,Cat. 1,22.5,-85.7,70,NA,Other
AL041886,UNNAMED,1886-07-17,1886,July,17,1200,Cat. 1,21.5,-85.3,65,NA,Other
AL081886,UNNAMED,1886-09-19,1886,September,19,1200,TS,21.5,-84.3,55,NA,Other
AL041886,UNNAMED,1886-07-18,1886,July,18,1200,Cat. 1,26.5,-83.5,70,NA,Other
AL031886,UNNAMED,1886-06-28,1886,June,28,1200,Cat. 1,21.5,-81.5,75,NA,Other
AL051886,UNNAMED,1886-08-17,1886,August,17,1200,TS,22.5,-79.7,55,NA,Other
AL061886,UNNAMED,1886-08-22,1886,August,22,0,Cat. 3,21.5,-79,105,NA,Other
AL061886,UNNAMED,1886-08-20,1886,August,20,1200,Cat. 2,18.5,-77.3,95,NA,Other
AL061886,UNNAMED,1886-08-17,1886,August,17,0,Cat. 2,12.5,-63.7,95,NA,Other
AL061886,UNNAMED,1886-08-17,1886,August,17,600,Cat. 2,12.5,-65.1,90,NA,Other
AL061886,UNNAMED,1886-08-17,1886,August,17,1200,Cat. 2,12.5,-66.5,85,NA,Other
AL061886,UNNAMED,1886-08-17,1886,August,17,1800,Cat. 2,12.5,-67.8,85,NA,Other
AL061886,UNNAMED,1886-08-16,1886,August,16,600,Cat. 2,13.5,-60,85,NA,Other
AL121886,UNNAMED,1886-10-22,1886,October,22,1200,TS,20.5,-72,35,NA,Other
AL051886,UNNAMED,1886-08-16,1886,August,16,1200,Cat. 2,19.5,-76.5,85,NA,Other
AL051886,UNNAMED,1886-08-13,1886,August,13,0,TS,12.5,-60.7,50,NA,Other
AL051886,UNNAMED,1886-08-12,1886,August,12,600,TS,10.5,-58,35,NA,Other
AL041886,UNNAMED,1886-07-19,1886,July,19,600,TS,29.5,-82.1,55,NA,Other
AL091886,UNNAMED,1886-09-28,1886,September,28,0,Cat. 2,27.5,-67.9,85,NA,Other
AL091886,UNNAMED,1886-09-22,1886,September,22,1200,TS,23.5,-66.5,55,NA,Other
AL091886,UNNAMED,1886-09-25,1886,September,25,0,Cat. 2,25.5,-65.2,85,NA,Other
AL121886,UNNAMED,1886-10-26,1886,October,26,600,TS,27.5,-58.1,40,NA,Other
AL191887,UNNAMED,1887-12-12,1887,December,12,1800,TD,10.5,-83.6,25,NA,Other
AL191887,UNNAMED,1887-12-11,1887,December,11,0,TS,11.5,-78.2,50,NA,Other
